,comment_id,user_id,platform,date_time,likes_count,comment_raw,comment_cleaned_emoji,comment_cleaned_no_emoji,comment_processed,vader_compound_emoji,vader_compound_no_emoji
1413,17854493186504133,3471561985,instagram,2021-02-10 08:02:40,1,He may not be sending the best but he is sending HIS best!,He may not be sending the best but he is sending HIS best!,He may not be sending the best but he is sending HIS best!,"['may', 'sending', 'best', 'sending', 'best']",0.8655,0.8655
1414,17895600016842753,3689978658,instagram,2021-02-10 07:53:28,1,Never ever ever ever ever going to get all the Republican votes needed to impeach him this is a fact just have waste of time this is a cover up for something anybody that thinks he's going to truly get impeached is truly truly stupid,Never ever ever ever ever going to get all the Republican votes needed to impeach him this is a fact just have waste of time this is a cover up for something anybody that thinks he's going to truly get impeached is truly truly stupid,Never ever ever ever ever going to get all the Republican votes needed to impeach him this is a fact just have waste of time this is a cover up for something anybody that thinks he's going to truly get impeached is truly truly stupid,"['never', 'ever', 'ever', 'ever', 'ever', 'going', 'republican', 'votes', 'needed', 'impeach', 'fact', 'waste', 'time', 'cover', 'something', 'anybody', 'thinks', 'going', 'truly', 'impeached', 'truly', 'truly', 'stupid']",0.3612,0.3612
1415,17875960550179356,486801118,instagram,2021-02-10 07:19:18,1,😂😂😂😂😂,😂😂😂😂😂,,[],0.926,0.0
1416,18192811762052469,20275396873,instagram,2021-02-10 07:01:36,1,He is holding on to his wig 🤣😂,He is holding on to his wig 🤣😂,He is holding on to his wig 🤣,"['holding', 'wig']",0.7269,0.4939
1417,17884297418055621,2960017308,instagram,2021-02-10 06:56:25,1,Maybe he's hungover,Maybe he's hungover,Maybe he's hungover,"['maybe', 'hungover']",0.0,0.0
1418,17860268432380569,375853174,instagram,2021-02-10 05:53:45,4,Why does he hold his head when he drinks water?🤔,Why does he hold his head when he drinks water?🤔,Why does he hold his head when he drinks water?🤔,"['hold', 'head', 'drinks', 'water']",0.0,0.0
1419,17916690550571296,6745343896,instagram,2021-02-10 05:53:01,1,Covering his blow hole?,Covering his blow hole?,Covering his blow hole?,"['covering', 'blow', 'hole']",0.0,0.0
1420,17867079182298033,4007646483,instagram,2021-02-10 05:37:03,5,Why is he so thirsty? His meds? ✌🏼😷💙💙🙃✌🏼,Why is he so thirsty? His meds? ✌🏼😷💙💙🙃✌🏼,Why is he so thirsty? His meds? ,"['thirsty', 'meds']",0.9447,0.0
1421,17848224719516146,210284562,instagram,2021-02-10 05:33:42,5,I died here😂😂 I laughed out loud,I died here😂😂 I laughed out loud,I died here I laughed out loud,"['died', 'laughed', 'loud']",0.6369,-0.1531
1422,17899295011813001,7882454211,instagram,2021-02-10 05:30:25,5,"~ You get what you pay for. And Trump is paying them nothing, zilch, zero, nada.","~ You get what you pay for. And Trump is paying them nothing, zilch, zero, nada.","~ You get what you pay for. And Trump is paying them nothing, zilch, zero, nada.","['pay', 'paying', 'nothing', 'zilch', 'zero', 'nada']",-0.1027,-0.1027
1423,18189953725062295,3222191138,instagram,2021-02-10 05:24:55,5,"Why do rich white guys always get away with rape, murder and robbery?","Why do rich white guys always get away with rape, murder and robbery?","Why do rich white guys always get away with rape, murder and robbery?","['rich', 'white', 'guys', 'always', 'away', 'rape', 'murder', 'robbery']",-0.7783,-0.7783
1424,18193430425051752,8555486542,instagram,2021-02-10 05:22:12,10,Must hold head while drinking water and arguing lies against impeachment. Noted,Must hold head while drinking water and arguing lies against impeachment. Noted,Must hold head while drinking water and arguing lies against impeachment. Noted,"['must', 'hold', 'head', 'drinking', 'water', 'arguing', 'lies', 'noted']",-0.7003,-0.7003
1425,17905615993713444,5492843540,instagram,2021-02-10 16:58:09,0,Oh no! That’s annoying. Have the organisers said anything about it?,Oh no! That’s annoying. Have the organisers said anything about it?,Oh no! That’s annoying. Have the organisers said anything about it?,"['oh', 'annoying', 'organisers', 'said', 'anything']",-0.4574,-0.4574
1426,17859798086438757,2983667414,instagram,2021-02-12 03:20:54,0,Wish to have like you in Israel.,Wish to have like you in Israel.,Wish to have like you in Israel.,"['wish', 'like', 'israel']",0.6369,0.6369
1427,17897030593785982,2983667414,instagram,2021-02-12 03:20:15,0,You are a great person and senators.,You are a great person and senators.,You are a great person and senators.,"['great', 'person', 'senators']",0.6249,0.6249
1428,18193430467054688,6115594610,instagram,2021-02-10 22:30:11,0,the stupidity of impeaching a citizen who is NO LONGER in office is so beyond.  What the F&@! is the point he no longer holds the office.  #walkaway #walkawaycampaign #commonsense,the stupidity of impeaching a citizen who is NO LONGER in office is so beyond.  What the F& is the point he no longer holds the office.    ,the stupidity of impeaching a citizen who is NO LONGER in office is so beyond.  What the F& is the point he no longer holds the office.    ,"['stupidity', 'impeaching', 'citizen', 'longer', 'office', 'beyond', 'f', 'point', 'longer', 'holds', 'office']",-0.7925,-0.7925
1429,17883713429069363,4004186013,instagram,2021-02-10 10:21:33,0,반갑습니다 저 원래 중국 🇨🇳 시진핑 대통령님 좋아해요 새해 복 많이 받으세요!🙏🌷🇰🇷🇰🇷🇰🇷💞🙇‍♀️,반갑습니다 저 원래 중국 🇨🇳 시진핑 대통령님 좋아해요 새해 복 많이 받으세요!🙏🌷🇰🇷🇰🇷🇰🇷💞🙇‍♀️,           !‍,[],0.68,0.0
