,comment_id,user_id,platform,date_time,likes_count,comment,comment_no_emoji,comment_processed
149,17873015372240077,219715333,instagram,2021-02-11 02:35:24,20,"The ""new guy"" isn't really new. He's been a shit politician for 4 decades in washington.","The ""new guy"" isn't really new. He's been a shit politician for 4 decades in washington.","['new', 'guy', 'really', 'new', 'shit', 'politician', 'decades', 'washington']"
150,17923283644525563,2305456941,instagram,2021-02-11 02:31:49,1,I do,I do,[]
151,17897914993766882,1345153861,instagram,2021-02-11 02:30:38,5,It's the same everywhere. I thought you were talking about Argentina... Media is pure shit. 👏🏾,It's the same everywhere. I thought you were talking about Argentina... Media is pure shit. ,"['everywhere', 'thought', 'talking', 'argentina', 'media', 'pure', 'shit']"
152,17904865867709119,203396004,instagram,2021-02-11 02:30:10,1,@rgrace.2107 this just made me laugh, this just made me laugh,"['made', 'laugh']"
153,18065486146271509,4564396582,instagram,2021-02-11 02:29:21,78,"If the news isn’t as gripping, it might be because you aren’t listening to the right journalists. Biden has yet to remove the tax breaks 45 gave to the rich, even though he promised to do it on day 1. The Biden + Harris administration just deported 20 infants & children to Haiti, a nation whose president is refusing to leave office & his dictatorship is supported by the Biden Administration despite the resistance of the Haitian people. Biden still is lying about the 1 time stimulus payment he promised people & has changed the parameters & qualifications for the stimulus payment multiple times over the last ~ 23 days. THERE IS STILL PEOPLE FIGHTING FOR THEIR LIVES but let’s make light of it & claim things aren’t as interesting since mainstream liberal media has no problem not telling you about the Black & Brown people being drone bombed by the “lesser evil” so many liberal whites claimed was a solution 🙃","If the news isn’t as gripping, it might be because you aren’t listening to the right journalists. Biden has yet to remove the tax breaks 45 gave to the rich, even though he promised to do it on day 1. The Biden + Harris administration just deported 20 infants & children to Haiti, a nation whose president is refusing to leave office & his dictatorship is supported by the Biden Administration despite the resistance of the Haitian people. Biden still is lying about the 1 time stimulus payment he promised people & has changed the parameters & qualifications for the stimulus payment multiple times over the last ~ 23 days. THERE IS STILL PEOPLE FIGHTING FOR THEIR LIVES but let’s make light of it & claim things aren’t as interesting since mainstream liberal media has no problem not telling you about the Black & Brown people being drone bombed by the “lesser evil” so many liberal whites claimed was a solution ","['news', 'gripping', 'might', 'listening', 'right', 'journalists', 'biden', 'yet', 'remove', 'tax', 'breaks', 'gave', 'rich', 'even', 'though', 'promised', 'day', 'biden', 'harris', 'administration', 'deported', 'infants', 'children', 'haiti', 'nation', 'whose', 'president', 'refusing', 'leave', 'office', 'dictatorship', 'supported', 'biden', 'administration', 'despite', 'resistance', 'haitian', 'people', 'biden', 'still', 'lying', 'time', 'stimulus', 'payment', 'promised', 'people', 'changed', 'parameters', 'qualifications', 'stimulus', 'payment', 'multiple', 'times', 'last', 'days', 'still', 'people', 'fighting', 'lives', 'let', 'make', 'light', 'claim', 'things', 'interesting', 'since', 'mainstream', 'liberal', 'media', 'problem', 'telling', 'black', 'brown', 'people', 'drone', 'bombed', 'lesser', 'evil', 'many', 'liberal', 'whites', 'claimed', 'solution']"
154,17871600908311010,584575248,instagram,2021-02-11 02:23:40,1,@meeshkeern,,[]
155,18139804495181067,1706599972,instagram,2021-02-11 02:11:41,6,Imma love this comment section and I'm not even American 😂,Imma love this comment section and I'm not even American ,"['imma', 'love', 'comment', 'section', 'even', 'american']"
156,17906298946642554,54535022,instagram,2021-02-11 02:07:41,2,"I wish our president was still funny, like he has a habit of sniffing girls and speaking in senile gibberish. That'd be a caracature.","I wish our president was still funny, like he has a habit of sniffing girls and speaking in senile gibberish. That'd be a caracature.","['wish', 'president', 'still', 'funny', 'like', 'habit', 'sniffing', 'girls', 'speaking', 'senile', 'gibberish', 'caracature']"
157,17884711262050110,1419870779,instagram,2021-02-11 01:52:43,33,Imagine voting for child sniffer and who puts men in women sports ruining their careers.,Imagine voting for child sniffer and who puts men in women sports ruining their careers.,"['imagine', 'voting', 'child', 'sniffer', 'puts', 'men', 'women', 'sports', 'ruining', 'careers']"
158,17867148986297663,6279803402,instagram,2021-02-11 01:52:01,0,Maybe,Maybe,['maybe']
